city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
3833367,Ushuaia,AR,-54.8,-68.3,10/26/20,            50,31,20,21.92
6068416,Mayo,CA,63.59,-135.9,10/26/20,            28.4,92,90,5.82
2124611,Kholodnyy,RU,62.72,147.95,10/26/20,            11.89,85,0,1.79
3893629,Coquimbo,CL,-29.95,-71.34,10/26/20,            55.4,87,0,10.29
4030556,Rikitea,PF,-23.12,-134.97,10/26/20,            74.57,86,100,13.11
964420,Port Elizabeth,ZA,-33.92,25.57,10/26/20,            64.4,88,90,16.11
2092164,Lorengau,PG,-2.02,147.27,10/26/20,            81,80,100,6.33
6620339,Karratha,AU,-20.74,116.85,10/26/20,            77.43,41,20,4.03
3430863,Mar del Plata,AR,-38,-57.56,10/26/20,            55.06,81,0,5.82
5870133,Nome,US,64.5,-165.41,10/26/20,            36.84,64,1,9.17
5855927,Hilo,US,19.73,-155.09,10/26/20,            75.6,83,90,5.82
2122090,Pevek,RU,69.7,170.31,10/26/20,            22.87,94,98,18.75
3101145,Czarnków,PL,52.9,16.56,10/26/20,            51.94,87,0,5.82
3831208,Qaanaaq,GL,77.48,-69.36,10/26/20,            9.27,77,82,8.88
2156643,Mount Gambier,AU,-37.83,140.77,10/26/20,            55.4,71,40,17.22
2035836,Manzhouli,CN,49.6,117.43,10/26/20,            23.99,86,0,23.42
4035715,Avarua,CK,-21.21,-159.78,10/26/20,            75.2,69,100,19.46
2132606,Samarai,PG,-10.62,150.67,10/26/20,            82.11,80,97,8.28
546105,Nikolskoye,RU,59.7,30.79,10/26/20,            48.07,87,75,6.71
5367788,Lompoc,US,34.64,-120.46,10/26/20,            66.85,42,20,11.41
3372472,Vila Franca do Campo,PT,37.72,-25.43,10/26/20,            68,82,75,16.11
5282297,Bethel,US,41.37,-73.41,10/26/20,            52.95,93,90,4.7
3393692,Itarema,BR,-2.92,-39.92,10/26/20,            78.55,81,0,13.73
1496073,Orlik,RU,52.52,99.83,10/26/20,            14.49,89,90,3.38
2075265,Busselton,AU,-33.65,115.33,10/26/20,            62.94,78,74,13.31
2274275,Robertsport,LR,6.75,-11.37,10/26/20,            79.66,85,85,11.03
2028164,Deputatsky,RU,69.3,139.9,10/26/20,            -0.02,87,81,1.74
3370903,Jamestown,SH,-15.94,-5.72,10/26/20,            61.23,97,52,18.23
2022572,Khatanga,RU,71.97,102.5,10/26/20,            1.83,94,82,8.95
3577430,Road Town,VG,18.42,-64.62,10/26/20,            82.76,78,40,11.41
1566166,Thanh Hoa,VN,19.8,105.77,10/26/20,            72.18,88,86,4.63
3874787,Punta Arenas,CL,-53.15,-70.92,10/26/20,            48.09,75,20,24.16
5848280,Kapaa,US,22.08,-159.32,10/26/20,            77.94,83,75,5.82
6167817,Torbay,CA,47.67,-52.73,10/26/20,            35.33,64,75,10.29
2595299,Coyah,GN,9.75,-13.42,10/26/20,            76.08,92,77,3.51
3355672,Lüderitz,NA,-26.65,15.16,10/26/20,            59.36,77,0,13.73
2110227,Butaritari,KI,3.07,172.79,10/26/20,            81.61,67,64,10.31
3366880,Hermanus,ZA,-34.42,19.23,10/26/20,            64,86,46,5.99
4011743,Constitucion,MX,23.99,-104.67,10/26/20,            77.99,41,5,12.75
